预测器,负载MAE(kW),负载RMSE(kW),光伏MAE(kW),光伏RMSE(kW)
昨日持续,650.02006751497,1128.3912380310528,185.34649152736193,375.1748781365903
3日均,945.0783900691672,1241.3262246301458,154.45853356828007,313.47958916505144
7日均,781.2110842648038,955.9245199188664,153.39970672494294,303.85773925555964
14日均,782.6703834450149,959.8275813218374,171.48326937078224,327.22090089327236
30日均,789.757036280356,973.506509451757,225.64731342010424,400.08167291002644
"EWMA(0.7,14)",844.9886280103275,1071.3585323225257,150.14818520509928,300.98680134234417
"EWMA(0.5,7)",812.6108868762966,1110.7623127725096,154.08067287983087,312.5598303636482
同月均,813.7625911979743,1029.2583102150206,178.09641889900925,334.681857820917
