预测器,MAE(元/kWh),RMSE(元/kWh),bias(元/kWh)
昨日持续,0.08432593978709248,0.1238371814083651,0.0005953551230871593
3日均,0.10218736416056774,0.13203410442784716,0.000612692670215126
7日均,0.08266928345689574,0.1052650947390656,0.0003280142096758855
14日均,0.08382866944682066,0.10737494984659872,0.00037183816890029695
30日均,0.08747693488023951,0.11351153087727214,0.00030677908072743664
"EWMA(0.7,14)",0.0894918200759949,0.11542080643453435,0.0005056017170361701
"EWMA(0.5,7)",0.08905573300577321,0.11940298116538428,0.0005701004323374359
同月均,0.08615168367799086,0.11116559816368284,-0.0009463549946432679
