策略,说明,计划购电费,违约费,紧急购电费,计划加紧急,总费用,相对P0节省,节省比例%
P0,仅 0:00 计划,13700904.062987555,0.0,7551323.1625373615,21252227.225524917,21252227.225524914,0.0,0.0
P1,0:00 + 6:00 调整,13651925.466783922,327619.1343877156,7442454.364846578,21094379.8316305,21421998.966018215,-169771.7404933013,-0.7988421104842957
P2,0:00 + 6:00 + 12:00,13637359.324487219,303945.9123035096,7428168.676851687,21065528.001338907,21369473.913642414,-117246.6881175004,-0.5516912974499052
P3,0:00 + 6/12/18（题目方案）,13637357.50298335,303947.37152718764,7428169.795982286,21065527.298965637,21369474.670492824,-117247.44496791065,-0.5516948587256352
P4,逐小时更新（插值预报）,13603973.710727375,303662.52207478136,7477610.490329729,21081584.201057106,21385246.723131888,-133019.4976069741,-0.625908504531758
P5',仅完美光伏信息（无调整，上界）,13399958.633773465,751559.7960846482,5849762.361290373,19249720.995063838,20001280.791148487,1250946.434376426,5.886189814844353
A_load,仅完美负载信息（无调整，上界）,12556454.55984456,1758295.9733697993,3491876.520934721,16048331.080779282,17806627.054149084,3445600.1713758297,16.212889758855503
P5,完美信息（负载+光伏，上界）,12229643.060417235,2095176.3937604015,4.703476434401315e-10,12229643.060417235,14324819.454177637,6927407.771347277,32.5961495603959
