负载预测器,光伏预测器,alpha,beta,total_cost_jan,avg_daily
昨日持续,"EWMA(0.7,14)",0.03,0.0,1774063.6488082584,73919.3187003441
7日均,"EWMA(0.7,14)",0.0,0.18,1786021.7690948234,74417.57371228431
昨日持续,"EWMA(0.7,14)",0.03,0.06,1789793.8259354557,74574.74274731065
昨日持续,"EWMA(0.7,14)",0.06,0.0,1791338.3022572193,74639.09592738414
昨日持续,"EWMA(0.7,14)",0.0,0.06,1796212.5494806394,74842.1895616933
7日均,"EWMA(0.7,14)",0.24,0.18,1798870.5047956274,74952.9376998178
昨日持续,"EWMA(0.7,14)",0.0,0.0,1799819.3851247677,74992.47438019865
7日均,"EWMA(0.7,14)",0.03,0.0,1809506.7495698237,75396.11456540933
昨日持续,"EWMA(0.7,14)",0.03,0.12,1812163.6229419007,75506.8176225792
昨日持续,"EWMA(0.7,14)",0.0,0.12,1812851.708779833,75535.48786582638
昨日持续,"EWMA(0.7,14)",0.06,0.06,1813989.9043123515,75582.9126796813
7日均,"EWMA(0.7,14)",0.0,0.12,1816979.2595784734,75707.46914910305
昨日持续,"EWMA(0.7,14)",0.09,0.0,1826603.5576745027,76108.48156977094
昨日持续,"EWMA(0.7,14)",0.0,0.18,1834021.2700329744,76417.5529180406
昨日持续,"EWMA(0.7,14)",0.03,0.18,1835155.3864670922,76464.80776946218
昨日持续,"EWMA(0.7,14)",0.06,0.12,1838029.6103704842,76584.56709877017
昨日持续,"EWMA(0.7,14)",0.09,0.06,1851022.2060331667,77125.92525138195
昨日持续,"EWMA(0.7,14)",0.06,0.18,1860464.6121481415,77519.35883950589
昨日持续,"EWMA(0.7,14)",0.12,0.0,1866407.325592326,77766.97189968025
7日均,"EWMA(0.7,14)",0.0,0.06,1873540.2955517853,78064.17898132438
昨日持续,"EWMA(0.7,14)",0.09,0.12,1874726.5187140647,78113.60494641936
昨日持续,"EWMA(0.7,14)",0.12,0.06,1890874.9644433623,78786.45685180677
昨日持续,"EWMA(0.7,14)",0.09,0.18,1897418.7403823663,79059.1141825986
昨日持续,"EWMA(0.7,14)",0.15,0.0,1907210.264559283,79467.0943566368
昨日持续,"EWMA(0.7,14)",0.12,0.12,1913940.896223104,79747.53734262934
昨日持续,"EWMA(0.7,14)",0.15,0.06,1931562.0093568903,80481.75038987043
昨日持续,"EWMA(0.7,14)",0.12,0.18,1936222.4688440345,80675.93620183477
7日均,"EWMA(0.7,14)",0.0,0.0,1945353.6170435816,81056.40071014923
昨日持续,"EWMA(0.7,14)",0.18,0.0,1947886.0493664271,81161.91872360113
昨日持续,"EWMA(0.7,14)",0.15,0.12,1954398.3077696534,81433.26282373555
昨日持续,"EWMA(0.7,14)",0.18,0.06,1971422.3327007475,82142.59719586448
昨日持续,"EWMA(0.7,14)",0.15,0.18,1975118.3411370807,82296.59754737836
昨日持续,"EWMA(0.7,14)",0.21,0.0,1988968.9551854848,82873.70646606186
昨日持续,"EWMA(0.7,14)",0.18,0.12,1994159.9303340062,83089.99709725026
昨日持续,"EWMA(0.7,14)",0.21,0.06,2012103.000946666,83837.62503944442
昨日持续,"EWMA(0.7,14)",0.18,0.18,2014418.890426269,83934.12043442788
昨日持续,"EWMA(0.7,14)",0.24,0.0,2029663.0081698135,84569.29200707556
昨日持续,"EWMA(0.7,14)",0.21,0.12,2033579.7065790577,84732.48777412741
昨日持续,"EWMA(0.7,14)",0.24,0.06,2052967.5224557437,85540.31343565599
昨日持续,"EWMA(0.7,14)",0.21,0.18,2053716.6399719429,85571.52666549761
昨日持续,"EWMA(0.7,14)",0.24,0.12,2073770.0967828163,86407.08736595068
昨日持续,"EWMA(0.7,14)",0.24,0.18,2094026.3336444504,87251.09723518543
